Trainn acc .	Test acc .	
 3.1554e+02	 3.3558e+02	
 3.1500e+02	 3.3502e+02	
 3.1446e+02	 3.3447e+02	
 3.1392e+02	 3.3391e+02	
 3.1337e+02	 3.3335e+02	
 3.1283e+02	 3.3279e+02	
 3.1229e+02	 3.3223e+02	
 3.1174e+02	 3.3167e+02	
 3.1120e+02	 3.3111e+02	
 3.1066e+02	 3.3055e+02	
 3.1012e+02	 3.2999e+02	
 3.0957e+02	 3.2943e+02	
 3.0903e+02	 3.2887e+02	
 3.0849e+02	 3.2831e+02	
 3.0795e+02	 3.2776e+02	
 3.0741e+02	 3.2720e+02	
 3.0687e+02	 3.2664e+02	
 3.0633e+02	 3.2609e+02	
 3.0579e+02	 3.2553e+02	
 3.0525e+02	 3.2497e+02	
 3.0472e+02	 3.2442e+02	
 3.0418e+02	 3.2386e+02	
 3.0364e+02	 3.2331e+02	
 3.0311e+02	 3.2275e+02	
 3.0257e+02	 3.2220e+02	
 3.0204e+02	 3.2164e+02	
 3.0150e+02	 3.2109e+02	
 3.0096e+02	 3.2053e+02	
 3.0043e+02	 3.1997e+02	
 2.9989e+02	 3.1942e+02	
 2.9936e+02	 3.1886e+02	
 2.9883e+02	 3.1831e+02	
 2.9829e+02	 3.1776e+02	
 2.9776e+02	 3.1720e+02	
 2.9723e+02	 3.1665e+02	
 2.9670e+02	 3.1610e+02	
 2.9617e+02	 3.1555e+02	
 2.9564e+02	 3.1500e+02	
 2.9511e+02	 3.1445e+02	
 2.9458e+02	 3.1390e+02	
 2.9405e+02	 3.1335e+02	
 2.9352e+02	 3.1281e+02	
 2.9300e+02	 3.1226e+02	
 2.9247e+02	 3.1171e+02	
 2.9194e+02	 3.1116e+02	
 2.9141e+02	 3.1061e+02	
 2.9089e+02	 3.1006e+02	
 2.9036e+02	 3.0951e+02	
 2.8984e+02	 3.0897e+02	
 2.8931e+02	 3.0842e+02	
 2.8879e+02	 3.0787e+02	
 2.8827e+02	 3.0732e+02	
 2.8774e+02	 3.0677e+02	
 2.8722e+02	 3.0622e+02	
 2.8669e+02	 3.0567e+02	
 2.8617e+02	 3.0513e+02	
 2.8565e+02	 3.0458e+02	
 2.8512e+02	 3.0403e+02	
 2.8460e+02	 3.0349e+02	
 2.8408e+02	 3.0294e+02	
 2.8356e+02	 3.0240e+02	
 2.8304e+02	 3.0186e+02	
 2.8252e+02	 3.0131e+02	
 2.8200e+02	 3.0077e+02	
 2.8148e+02	 3.0023e+02	
 2.8096e+02	 2.9969e+02	
 2.8044e+02	 2.9915e+02	
 2.7992e+02	 2.9861e+02	
 2.7940e+02	 2.9807e+02	
 2.7888e+02	 2.9754e+02	
 2.7836e+02	 2.9700e+02	
 2.7784e+02	 2.9646e+02	
 2.7732e+02	 2.9593e+02	
 2.7680e+02	 2.9539e+02	
 2.7629e+02	 2.9486e+02	
 2.7577e+02	 2.9432e+02	
 2.7525e+02	 2.9379e+02	
 2.7474e+02	 2.9326e+02	
 2.7422e+02	 2.9273e+02	
 2.7370e+02	 2.9220e+02	
 2.7318e+02	 2.9167e+02	
 2.7267e+02	 2.9114e+02	
 2.7215e+02	 2.9061e+02	
 2.7164e+02	 2.9009e+02	
 2.7113e+02	 2.8956e+02	
 2.7061e+02	 2.8904e+02	
 2.7010e+02	 2.8851e+02	
 2.6959e+02	 2.8799e+02	
 2.6908e+02	 2.8747e+02	
 2.6857e+02	 2.8695e+02	
 2.6806e+02	 2.8643e+02	
 2.6756e+02	 2.8591e+02	
 2.6705e+02	 2.8539e+02	
 2.6654e+02	 2.8486e+02	
 2.6604e+02	 2.8434e+02	
 2.6554e+02	 2.8381e+02	
 2.6503e+02	 2.8329e+02	
 2.6453e+02	 2.8277e+02	
 2.6403e+02	 2.8224e+02	
 2.6353e+02	 2.8172e+02	
 2.6303e+02	 2.8119e+02	
 2.6253e+02	 2.8067e+02	
 2.6203e+02	 2.8014e+02	
 2.6153e+02	 2.7962e+02	
 2.6104e+02	 2.7910e+02	
 2.6054e+02	 2.7858e+02	
 2.6005e+02	 2.7806e+02	
 2.5956e+02	 2.7753e+02	
 2.5906e+02	 2.7701e+02	
 2.5857e+02	 2.7649e+02	
 2.5808e+02	 2.7598e+02	
 2.5759e+02	 2.7546e+02	
 2.5710e+02	 2.7494e+02	
 2.5661e+02	 2.7442e+02	
 2.5612e+02	 2.7391e+02	
 2.5564e+02	 2.7339e+02	
 2.5515e+02	 2.7288e+02	
 2.5466e+02	 2.7237e+02	
 2.5418e+02	 2.7186e+02	
 2.5370e+02	 2.7136e+02	
 2.5322e+02	 2.7085e+02	
 2.5273e+02	 2.7035e+02	
 2.5225e+02	 2.6984e+02	
 2.5177e+02	 2.6934e+02	
 2.5129e+02	 2.6883e+02	
 2.5082e+02	 2.6833e+02	
 2.5034e+02	 2.6783e+02	
 2.4986e+02	 2.6733e+02	
 2.4939e+02	 2.6684e+02	
 2.4891e+02	 2.6634e+02	
 2.4844e+02	 2.6584e+02	
 2.4797e+02	 2.6535e+02	
 2.4750e+02	 2.6485e+02	
 2.4703e+02	 2.6436e+02	
 2.4656e+02	 2.6387e+02	
 2.4610e+02	 2.6338e+02	
 2.4563e+02	 2.6289e+02	
 2.4517e+02	 2.6240e+02	
 2.4470e+02	 2.6191e+02	
 2.4424e+02	 2.6142e+02	
 2.4378e+02	 2.6093e+02	
 2.4332e+02	 2.6045e+02	
 2.4286e+02	 2.5996e+02	
 2.4240e+02	 2.5948e+02	
 2.4195e+02	 2.5899e+02	
 2.4149e+02	 2.5851e+02	
 2.4104e+02	 2.5803e+02	
 2.4058e+02	 2.5754e+02	
 2.4013e+02	 2.5706e+02	
 2.3968e+02	 2.5658e+02	
 2.3923e+02	 2.5610e+02	
 2.3878e+02	 2.5562e+02	
 2.3834e+02	 2.5515e+02	
 2.3789e+02	 2.5467e+02	
 2.3745e+02	 2.5420e+02	
 2.3700e+02	 2.5372e+02	
 2.3656e+02	 2.5325e+02	
 2.3612e+02	 2.5278e+02	
 2.3568e+02	 2.5231e+02	
 2.3524e+02	 2.5184e+02	
 2.3480e+02	 2.5137e+02	
 2.3436e+02	 2.5091e+02	
 2.3392e+02	 2.5044e+02	
 2.3349e+02	 2.4998e+02	
 2.3305e+02	 2.4951e+02	
 2.3262e+02	 2.4905e+02	
 2.3219e+02	 2.4858e+02	
 2.3175e+02	 2.4812e+02	
 2.3132e+02	 2.4766e+02	
 2.3089e+02	 2.4720e+02	
 2.3046e+02	 2.4674e+02	
 2.3003e+02	 2.4627e+02	
 2.2960e+02	 2.4581e+02	
 2.2917e+02	 2.4535e+02	
 2.2874e+02	 2.4489e+02	
 2.2831e+02	 2.4444e+02	
 2.2789e+02	 2.4398e+02	
 2.2746e+02	 2.4353e+02	
 2.2704e+02	 2.4307e+02	
 2.2662e+02	 2.4262e+02	
 2.2620e+02	 2.4217e+02	
 2.2578e+02	 2.4172e+02	
 2.2536e+02	 2.4126e+02	
 2.2494e+02	 2.4081e+02	
 2.2452e+02	 2.4036e+02	
 2.2410e+02	 2.3992e+02	
 2.2369e+02	 2.3947e+02	
 2.2327e+02	 2.3902e+02	
 2.2286e+02	 2.3858e+02	
 2.2244e+02	 2.3813e+02	
 2.2203e+02	 2.3769e+02	
 2.2162e+02	 2.3725e+02	
 2.2120e+02	 2.3681e+02	
 2.2079e+02	 2.3637e+02	
 2.2038e+02	 2.3593e+02	
 2.1997e+02	 2.3549e+02	
 2.1956e+02	 2.3505e+02	
 2.1916e+02	 2.3461e+02	
 2.1875e+02	 2.3417e+02	
 2.1835e+02	 2.3374e+02	
 2.1794e+02	 2.3330e+02	
 2.1754e+02	 2.3287e+02	
 2.1714e+02	 2.3243e+02	
 2.1674e+02	 2.3200e+02	
 2.1634e+02	 2.3158e+02	
 2.1594e+02	 2.3115e+02	
 2.1555e+02	 2.3072e+02	
 2.1515e+02	 2.3029e+02	
 2.1476e+02	 2.2987e+02	
 2.1436e+02	 2.2945e+02	
 2.1397e+02	 2.2903e+02	
 2.1358e+02	 2.2861e+02	
 2.1319e+02	 2.2819e+02	
 2.1280e+02	 2.2777e+02	
 2.1241e+02	 2.2736e+02	
 2.1202e+02	 2.2694e+02	
 2.1163e+02	 2.2653e+02	
 2.1125e+02	 2.2611e+02	
 2.1086e+02	 2.2570e+02	
 2.1047e+02	 2.2529e+02	
 2.1009e+02	 2.2489e+02	
 2.0971e+02	 2.2448e+02	
 2.0933e+02	 2.2408e+02	
 2.0895e+02	 2.2367e+02	
 2.0857e+02	 2.2327e+02	
 2.0819e+02	 2.2287e+02	
 2.0781e+02	 2.2247e+02	
 2.0744e+02	 2.2206e+02	
 2.0706e+02	 2.2167e+02	
 2.0669e+02	 2.2127e+02	
 2.0632e+02	 2.2087e+02	
 2.0594e+02	 2.2048e+02	
 2.0557e+02	 2.2009e+02	
 2.0520e+02	 2.1969e+02	
 2.0483e+02	 2.1930e+02	
 2.0446e+02	 2.1891e+02	
 2.0410e+02	 2.1852e+02	
 2.0373e+02	 2.1813e+02	
 2.0336e+02	 2.1774e+02	
 2.0300e+02	 2.1736e+02	
 2.0263e+02	 2.1698e+02	
